DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Developer, full-stack	India	JavaScript	Firebase	.NET	Node.js	Xamarin	
Database administrator	United States	HTML/CSS	Firebase	Ansible	Node.js	React Native	
Developer, front-end	United States	Assembly		Node.js			
Data or business analyst	United Kingdom	C#	Microsoft SQL Server	Pandas			
Database administrator	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Poland	Assembly	MySQL	Node.js			
Developer, back-end	France	C#	Microsoft SQL Server	.NET	.NET Core		
Designer	France	HTML/CSS	MySQL	Node.js	Pandas		
Data scientist or machine learning specialist	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Netherlands	C#	MariaDB	Node.js	React Native		
Developer, back-end	Netherlands	Go	MongoDB	Node.js			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	India	C#	Microsoft SQL Server	.NET			
Academic researcher	Sweden	Assembly	MongoDB	Cordova	Node.js		
Developer, back-end	United States	Go	MySQL	Other(s):			
Developer, front-end	United States	Bash/Shell/PowerShell	MongoDB	Node.js	Pandas		
Data or business analyst	France	HTML/CSS	MySQL	Pandas			
Developer, back-end	Poland	Bash/Shell/PowerShell	Cassandra	Ansible			
Developer, full-stack	United States	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Xamarin	
Developer, full-stack	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	India	HTML/CSS	Microsoft SQL Server	Node.js			
Developer, front-end	United States	C	Firebase	.NET	Node.js	Unity 3D	Unreal Engine
Designer	Sweden	C#		.NET			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United Kingdom	HTML/CSS	Microsoft SQL Server	Ansible	.NET		
Developer, back-end	Germany	Bash/Shell/PowerShell	MySQL	Ansible	Node.js		
Data or business analyst	Australia	C#	Microsoft SQL Server	Apache Spark	.NET	.NET Core	
Developer, back-end	France	C	MySQL	Xamarin			
Developer, front-end	United States	C++	Couchbase	Hadoop	.NET Core	Node.js	Unity 3D
Developer, front-end	United States	HTML/CSS	Elasticsearch	Node.js	React Native		
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	India	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Canada	Bash/Shell/PowerShell	MongoDB	Apache Spark	Node.js		
Developer, back-end	United States	C#	DynamoDB	Cordova	.NET	.NET Core	Node.js
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Data or business analyst	Canada	C#	DynamoDB	Chef	.NET	Node.js	
Designer	United Kingdom	C#	Microsoft SQL Server	Cordova	.NET	.NET Core	Node.js
Academic researcher	India	HTML/CSS	MongoDB	Node.js			
Developer, back-end	United States	C++	MySQL	.NET Core			
Developer, back-end	India	Go	Elasticsearch	Ansible	Pandas		
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	React Native	
Developer, back-end	Netherlands	HTML/CSS	Firebase	Node.js			
Academic researcher	Pakistan	Assembly	Microsoft SQL Server	TensorFlow	Other(s):		
Developer, back-end	Germany	Bash/Shell/PowerShell	Elasticsearch	.NET Core	Unity 3D		
Developer, full-stack	Canada	JavaScript	MongoDB	Node.js	React Native		
Developer, back-end	Netherlands	Bash/Shell/PowerShell	Couchbase	Ansible			
Developer, back-end	Poland	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Australia	C	PostgreSQL	Node.js	Other(s):		
Developer, front-end	United States	HTML/CSS	PostgreSQL	Node.js			
Academic researcher	Pakistan	Assembly	MongoDB	.NET	Node.js		
Database administrator	United States	C	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Netherlands	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, full-stack	United States	HTML/CSS	Elasticsearch	Node.js			
Data or business analyst	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Node.js	Unity 3D	
Developer, full-stack	Spain	Bash/Shell/PowerShell	Firebase	Ansible			
Academic researcher	Ukraine	C	Microsoft SQL Server	.NET	.NET Core	Node.js	React Native
Developer, back-end	Russian Federation	Python	MongoDB	Pandas	TensorFlow	Torch/PyTorch	
Developer, full-stack	Sweden	C#	Microsoft SQL Server	.NET Core			
Academic researcher	United States	Python		Pandas			
Developer, QA or test	United States	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core		
Data or business analyst	Germany	Bash/Shell/PowerShell	MongoDB	Flutter	Node.js	TensorFlow	Torch/PyTorch
Developer, back-end	France	C++	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	India	Assembly	Microsoft SQL Server	.NET			
Developer, back-end	France	Assembly		Unity 3D			
Developer, full-stack	United States	HTML/CSS	MySQL	Node.js			
Developer, back-end	Poland	HTML/CSS	Elasticsearch	Ansible	Node.js	React Native	
Developer, full-stack	United States	Bash/Shell/PowerShell	Oracle	Node.js			
Developer, back-end	Pakistan	HTML/CSS	MongoDB	Ansible	Pandas	React Native	
Developer, front-end	France	HTML/CSS	MongoDB	Node.js			
Developer, full-stack	United States	C	MySQL	.NET	.NET Core	Node.js	
Developer, full-stack	Russian Federation	Bash/Shell/PowerShell	MariaDB	Ansible	Node.js		
Developer, full-stack	United States	Elixir	Firebase	Node.js	React Native		
Data or business analyst	Poland	Bash/Shell/PowerShell	Couchbase	Cordova	Node.js	Pandas	Puppet
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Ansible			
Data or business analyst	Ukraine	Bash/Shell/PowerShell	MySQL	Pandas			
Developer, full-stack	Brazil	C#	Microsoft SQL Server	.NET	.NET Core		
Data scientist or machine learning specialist	India	HTML/CSS	PostgreSQL	Apache Spark	Pandas		
Designer	Germany	HTML/CSS	MariaDB	.NET			
Developer, back-end	Italy	C#	MariaDB	.NET	.NET Core	Xamarin	
Developer, front-end	Germany	Bash/Shell/PowerShell	SQLite	.NET	.NET Core		
Academic researcher	Poland	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	Pandas
DevOps specialist	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Database administrator	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js	Other(s):		
Developer, full-stack	India	C	MongoDB	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Firebase	Node.js	React Native		
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Cordova	.NET	.NET Core	Node.js
Developer, full-stack	India	Java	Firebase	Node.js			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Designer	Australia	HTML/CSS	Elasticsearch	Cordova	Node.js	React Native	
Developer, back-end	France	C#	Oracle	.NET	.NET Core		
Developer, back-end	India	HTML/CSS	MongoDB	Cordova	Node.js	React Native	
Database administrator	Sweden	Bash/Shell/PowerShell	Elasticsearch	Ansible	.NET	.NET Core	Node.js
Academic researcher	Brazil	C	MySQL	TensorFlow			
Designer	Sweden	Bash/Shell/PowerShell	MySQL	Ansible			
Database administrator	United States	C	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Pakistan	HTML/CSS	MariaDB	Node.js			
Developer, front-end	Australia	Bash/Shell/PowerShell	DynamoDB	Node.js	React Native		
Developer, back-end	Australia	Bash/Shell/PowerShell		Node.js			
Developer, QA or test	United States	C#	Microsoft SQL Server	.NET			
Data or business analyst	United States	Bash/Shell/PowerShell	Firebase	Apache Spark	React Native		
